name,epsilon,k,R,B,threshold,ntrue,ssod,tavg,smax,cntrue,csod,cavg,cmax,mntrue,msod,mavg,mmax,kmc,ssize,scsize,csize,ccsize,mphfsize,bsize,bcsize
GRCh38,0.001,15,6,157853721,2934860,0.4,2446861,1.24,9,55.0,1181957055,3.95,58,26.0,285898368,2.01,33,3833623129,2512456873,1585868444,2486196106,964449882,209305012,1646422128,567283819
GRCh38,0.01,21,4,141645448,29348536,1.1,26002634,1.01,12,6.0,164503685,1.23,108,5.5,137617044,1.08,108,18619896916,1276211029,358317191,1345631756,331515341,931637116,6457862503,1034544140
GRCh38,0.001,21,7,115628937,2934854,0.1,2767754,1.00,3,2.0,44166966,1.09,14,1.7,39326931,1.01,10,18619896916,1823478762,573697992,1922331078,520669592,931637116,6457862503,1034544140
GRCh38,0.01,27,4,107171949,29348468,1.1,28225960,1.01,12,6.0,191168735,1.25,66,6.0,162090199,1.09,64,24834344320,965780676,278884588,964547541,255688740,986099748,6573532286,1054481325
GRCh38,0.001,27,8,76551392,2934847,0.1,2590308,1.00,2,2.0,58074356,1.08,13,2.1,52748443,1.01,9,24834344320,1457009459,475222653,1377925056,424570796,986099748,6573532286,1054481325
GRCh38,0.01,32,4,98414723,29348413,1.1,29244036,1.01,8,6.0,184630429,1.22,70,5.7,158455176,1.08,68,28244208820,837541151,249691318,836525146,230348645,1084533564,6540396026,1116836232
GRCh38,0.001,32,8,70296231,2934841,0.1,2691283,1.00,2,2.0,54585020,1.07,10,1.9,50141940,1.01,8,28244208820,1267399759,425309361,1195035927,382839113,1084533564,6540396026,1116836232
SRR622461,0.01,15,4,117393511,78992807,3.3,49297346,2.20,55,96.0,13423513345,20.68,398,61.8,3308701254,7.92,261,4734871351,1996686305,1511550826,1291328621,655188301,258849020,2118462086,838369933
SRR622461,0.001,15,5,140872213,7899281,0.6,7384470,1.69,28,90.0,8272562402,13.66,231,50.2,2027739061,5.97,178,4734871351,2651227779,2075579507,1936992929,950258747,258849020,2118462086,838369933
SRR622461,0.01,21,3,2385949540,73467945,1.8,70917777,1.11,13,9.0,562811106,1.68,74,5.9,241513377,1.13,69,29085759652,16106359495,3656009214,18789352628,3588019373,1476356724,11018401257,2709401019
SRR622461,0.01,27,4,1782384901,67975320,1.3,49239429,1.04,6,8.0,457911299,1.53,21,5.2,205425664,1.06,21,37340004710,16042625755,3883397150,17823849010,3885707511,1478543820,10813217292,2664896504
SRR622461,0.01,32,4,1719165525,63402975,1.3,49490384,1.03,5,7.0,400883917,1.48,18,4.9,188861158,1.04,18,40733486291,14613805239,3593094452,16332072488,3647706006,1565739164,10360016343,2649281718
